Driver,Lap Time,Sector 1,Sector 2,Sector 3
ALB,01:46.813000,00:30.961000,00:30.961000,00:30.961000
ALO,01:45.849000,00:30.898000,00:30.898000,00:30.898000
ANT,01:44.861000,00:30.843000,00:30.843000,00:30.843000
BEA,01:46.709000,00:30.560000,00:30.560000,00:30.560000
BOR,01:46.966000,00:31.238000,00:31.238000,00:31.238000
COL,01:46.104000,00:30.753000,00:30.753000,00:30.753000
GAS,01:47.177000,00:30.935000,00:30.935000,00:30.935000
HAD,01:47.667000,00:31.579000,00:31.579000,00:31.579000
HAM,01:46.534000,00:31.075000,00:31.075000,00:31.075000
HUL,01:45.068000,00:30.463000,00:30.463000,00:30.463000
LAW,01:46.649000,00:31.116000,00:31.116000,00:31.116000
LEC,01:46.174000,00:30.874000,00:30.874000,00:30.874000
NOR,01:45.257000,00:30.811000,00:30.811000,00:30.811000
OCO,01:46.744000,00:30.757000,00:30.757000,00:30.757000
PIA,01:45.706000,00:30.905000,00:30.905000,00:30.905000
RUS,01:46.566000,00:30.765000,00:30.765000,00:30.765000
SAI,01:46.073000,00:31.226000,00:31.226000,00:31.226000
STR,01:47.212000,00:31.059000,00:31.059000,00:31.059000
TSU,01:47.241000,00:30.863000,00:30.863000,00:30.863000
VER,01:46.096000,00:30.943000,00:30.943000,00:30.943000
