Driver,Lap Number,Lap Time,Sector 1,Sector 2,Sector 3
ALB,70.0,01:13.687,0 days 00:00:25.047000,0 days 00:00:26.467000,0 days 00:00:22.173000
ALO,42.0,01:13.719,0 days 00:00:25.125000,0 days 00:00:26.195000,0 days 00:00:22.399000
ANT,70.0,01:13.480,0 days 00:00:25.134000,0 days 00:00:26.316000,0 days 00:00:22.030000
BEA,70.0,01:13.950,0 days 00:00:25.243000,0 days 00:00:26.345000,0 days 00:00:22.362000
BOR,63.0,01:14.307,0 days 00:00:25.400000,0 days 00:00:26.450000,0 days 00:00:22.457000
COL,72.0,01:13.049,0 days 00:00:24.969000,0 days 00:00:26.049000,0 days 00:00:22.031000
GAS,59.0,01:15.248,0 days 00:00:25.673000,0 days 00:00:26.888000,0 days 00:00:22.687000
HAD,70.0,01:13.327,0 days 00:00:24.969000,0 days 00:00:26.103000,0 days 00:00:22.255000
HAM,6.0,01:15.684,0 days 00:00:25.949000,0 days 00:00:27.151000,0 days 00:00:22.584000
HUL,61.0,01:14.912,0 days 00:00:25.344000,0 days 00:00:27.206000,0 days 00:00:22.362000
LAW,60.0,01:13.879,0 days 00:00:25.167000,0 days 00:00:26.420000,0 days 00:00:22.292000
LEC,33.0,01:14.557,0 days 00:00:25.693000,0 days 00:00:26.606000,0 days 00:00:22.258000
NOR,59.0,01:12.379,0 days 00:00:24.993000,0 days 00:00:25.626000,0 days 00:00:21.760000
OCO,71.0,01:13.986,0 days 00:00:25.152000,0 days 00:00:26.521000,0 days 00:00:22.313000
PIA,60.0,01:12.271,0 days 00:00:24.661000,0 days 00:00:25.567000,0 days 00:00:22.043000
RUS,70.0,01:13.728,0 days 00:00:25.076000,0 days 00:00:26.447000,0 days 00:00:22.205000
SAI,58.0,01:13.808,0 days 00:00:24.956000,0 days 00:00:26.502000,0 days 00:00:22.350000
STR,70.0,01:13.822,0 days 00:00:25.528000,0 days 00:00:26.169000,0 days 00:00:22.125000
TSU,71.0,01:14.354,0 days 00:00:25.238000,0 days 00:00:26.710000,0 days 00:00:22.406000
VER,70.0,01:12.921,0 days 00:00:24.769000,0 days 00:00:25.962000,0 days 00:00:22.190000
